n1,n2,n3,d1_nm,d2_nm,d3_nm,reflectance
1.73333333333333,1.66666666666667,1.33333333333333,164,104,188,0.0692686271983957
1.66666666666667,1.4,1.93333333333333,80,104,32,0.223192201280525
1.4,1,1.93333333333333,152,32,80,0.235987063126634
1.8,1.73333333333333,1.33333333333333,56,56,200,0.0935991815140929
1.33333333333333,1.46666666666667,1.6,80,56,200,0.00540671479434218
1.4,1.93333333333333,1.73333333333333,164,44,128,0.0479578008763464
2,1,2,152,32,140,0.0147363460239349
1.6,1.6,1.8,164,44,104,0.0450775198482556
1.13333333333333,1.4,2,20,152,68,0.149929281890361
1.2,1.86666666666667,1.13333333333333,44,68,80,0.291970365430163
1.13333333333333,1.06666666666667,1.6,44,164,140,0.0573892334644378
1.13333333333333,1.4,1.66666666666667,128,20,164,0.00604004166656905
1,1.66666666666667,1.2,140,140,164,0.012798328602799
1.86666666666667,1.06666666666667,1.2,44,140,164,0.21599622243351
